Реєстраційний номер;Унормована назва;Унормована назва латиницею;Вид географічного об'єкту;Адміністративний статус;Адміністративно-територіальна одиниця (АР Крим, область);Район;Широта;Довгота
П-2349;Джерело Біла криниця No2;Dzherelo Bila krynytsia No2;гідрологічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Гусятинський;"N 49°4'18""";"E 26°5'7"""
П-235;Мельнице-Подільська стінка;Melnytse-Podilska stinka;ботанічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Борщівський;"N 48°35'10""";"E 26°9'2"""
П-2350;Джерело Біла криниця No1;Dzherelo Bila krynytsia No1;гідрологічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Заліщицький;"N 48°44'49""";"E 25°44'21"""
П-2357;Джерело Зелена криниця;Dzherelo Zelena krynytsia;гідрологічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Бережанський;"N 49°29'34""";"E 24°50'49"""
П-2359;Урочище Провалля;Urochyshche Provallia;гідрологічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Збаразький;"N 49°43'3""";"E 25°42'13"""
П-2420;Велике сідло;Velyke sidlo;геологічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Підволочиський;"N 49°28'29""";"E 25°54'18"""
П-247;Монастирська скеля;Monastyrska skelia;геологічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Бучацький;"N 48°57'14""";"E 25°24'6"""
П-2472;Джерело Червона криниця;Dzherelo Chervona krynytsia;гідрологічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Чортківський;"N 48°57'13""";"E 25°34'43"""
П-252;Борухівські озерця;Borukhivski ozertsia;гідрологічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Борщівський;"N 48°53'51""";"E 25°56'21"""
П-253;Вигодське джерело;Vyhodske dzherelo;гідрологічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Борщівський;"N 48°41'46""";"E 25°58'50"""
П-254;Джерела в урочищі Кривуля;Dzherela v urochyshchi Kryvulia;гідрологічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Бережанський;"N 49°24'19""";"E 25°1'30"""
П-2540;Киданецькі скелі;Kydanetski skeli;геологічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Збаразький;"N 49°34'43""";"E 25°50'37"""
П-2549;Заліські джерела;Zaliski dzherela;гідрологічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Бережанський;"N 49°29'42""";"E 24°50'13"""
П-2586;Зелена криниця No2;Zelena krynytsia No2;гідрологічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Підволочиський;"N 49°41'1""";"E 26°8'48"""
П-2587;Каскад Сокілецьких джерел;Kaskad Sokiletskykh dzherel;гідрологічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Бережанський;"N 49°21'40""";"E 24°59'59"""
П-260;Озерця Вікнини;Ozertsia Viknyny;гідрологічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Гусятинський;"N 49°20'14""";"E 26°3'43"""
П-2672;Урочище Пожарниця;Urochyshche Pozharnytsia;заказник ботанічний;місцевого значення;Тернопільська обл.;р-н Збаразький;"N 49°42'22""";"E 25°38'27"""
П-2678;Дубова алея;Dubova aleia;ботанічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Гусятинський;"N 49°8'41""";"E 25°51'14"""
П-2707;Урочище Глоди;Urochyshche Hlody;ботанічна пам'ятка природи;загальнодержавного значення;Тернопільська обл.;р-н Заліщицький;"N 48°38'27""";"E 25°56'11"""
П-2708;"Урочище Заліщицька діброва в
Шутроминцях";"Urochyshche Zalishchytska
dibrova v Shutromyntsiakh";ботанічна пам'ятка природи;загальнодержавного значення;Тернопільська обл.;р-н Заліщицький;"N 48°48'42""";"E 25°32'16"""
П-2711;Рогівська ділянка;Rohivska dilianka;ботанічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Козівський;"N 49°23'50""";"E 25°6'38"""
П-2714;Чортів камінь;Chortiv kamin;геологічна пам'ятка природи;місцевого значення;Тернопільська обл.;Бережанська міськрада;"N 49°26'32""";"E 24°51'24"""
П-2717;Раївський парк;Raivskyi park;"парк-пам'ятка садово-паркового
мистецтва";загальнодержавного значення;Тернопільська обл.;Бережанська міськрада;"N 49°25'46""";"E 24°54'16"""
П-2719;Монастириські джерела;Monastyryski dzherela;гідрологічна пам'ятка природи;місцевого значення;Тернопільська обл.;Бережанська міськрада;"N 49°27'18""";"E 24°52'15"""
П-2747;"Урочище Подільська бучина в
Іванкові";"Urochyshche Podilska buchyna v
Ivankovi";ботанічна пам'ятка природи;загальнодержавного значення;Тернопільська обл.;р-н Борщівський;"N 48°49'55""";"E 26°8'32"""
П-2783;Печера Вертеба;Pechera Verteba;геологічна пам'ятка природи;загальнодержавного значення;Тернопільська обл.;р-н Борщівський;"N 48°47'19""";"E 25°52'17"""
П-2784;Печера Кришталева;Pechera Kryshtaleva;геологічна пам'ятка природи;загальнодержавного значення;Тернопільська обл.;р-н Борщівський;"N 48°41'27""";"E 26°5'36"""
П-2785;Печера Млинки;Pechera Mlynky;геологічна пам'ятка природи;загальнодержавного значення;Тернопільська обл.;р-н Чортківський;"N 48°57'20""";"E 25°52'33"""
П-2786;Печера Озерна;Pechera Ozerna;геологічна пам'ятка природи;загальнодержавного значення;Тернопільська обл.;р-н Борщівський;"N 48°45'51""";"E 25°57'57"""
П-2787;Печера Оптимістична;Pechera Optymistychna;геологічна пам'ятка природи;загальнодержавного значення;Тернопільська обл.;р-н Борщівський;"N 48°44'6""";"E 25°58'25"""
П-2790;Дорошівська діброва;Doroshivska dibrova;ботанічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Заліщицький;"N 48°42'47""";"E 25°48'47"""
П-2819;Печера Перлина;Pechera Perlyna;геологічна пам'ятка природи;загальнодержавного значення;Тернопільська обл.;р-н Гусятинський;"N 49°13'46""";"E 26°11'28"""
П-2820;Печера Ювілейна;Pechera Yuvileina;геологічна пам'ятка природи;загальнодержавного значення;Тернопільська обл.;р-н Борщівський;"N 48°43'54""";"E 26°4'22"""
П-2829;"Суразький дендропарк
ім.Дубровинського";"Surazkyi dendropark
im.dubrovynskoho";дендрологічний парк;місцевого значення;Тернопільська обл.;р-н Шумський;"N 50°8'52""";"E 26°11'14"""
П-288;Хоростківський;Khorostkivskyi;дендрологічний парк;загальнодержавного значення;Тернопільська обл.;р-н Гусятинський;"N 49°13'5""";"E 25°56'4"""
П-289;Серетський;Seretskyi;заказник гідрологічний;загальнодержавного значення;Тернопільська обл.;р-н Зборівський;"N 49°39'45""";"E 25°29'44"""
П-2908;Кременецька бучина No1;Kremenetska buchyna No1;ботанічна пам'ятка природи;місцевого значення;Тернопільська обл.;Кременецька міськрада;"N 50°6'24""";"E 25°43'27"""
П-2911;Дуби-брати трьохстовбурні;Duby-braty trokhstovburni;ботанічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Борщівський;"N 48°36'46""";"E 26°8'31"""
П-2913;Бук пурпуролистий;Buk purpurolystyi;ботанічна пам'ятка природи;місцевого значення;Тернопільська обл.;Кременецька міськрада;"N 50°5'20""";"E 25°45'27"""
П-2939;Урочище Трубчин;Urochyshche Trubchyn;комплексна пам'ятка природи;загальнодержавного значення;Тернопільська обл.;р-н Борщівський;"N 48°31'11""";"E 26°19'28"""
П-2977;Заліщицький;Zalishchytskyi;дендрологічний парк;місцевого значення;Тернопільська обл.;р-н Заліщицький;"N 48°38'9""";"E 25°43'59"""
П-2979;Настасівський;Nastasivskyi;дендрологічний парк;місцевого значення;Тернопільська обл.;р-н Тернопільський;"N 49°25'35""";"E 25°30'43"""
П-301;Довжоцький;Dovzhotskyi;заказник ботанічний;загальнодержавного значення;Тернопільська обл.;р-н Шумський;"N 50°7'20""";"E 25°49'10"""
П-3021;Кизиловий гай;Kyzylovyi hai;заказник ботанічний;місцевого значення;Тернопільська обл.;р-н Бережанський;"N 49°18'19""";"E 24°58'54"""
П-3064;Чайчинецька бучина;Chaichynetska buchyna;ботанічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Збаразький;"N 49°52'7""";"E 25°48'36"""
П-3103;Данилова гора;Danylova hora;геологічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Шумський;"N 50°13'56""";"E 25°54'50"""
П-3137;Горіх ведмежий No1;Horikh vedmezhyi No1;ботанічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Заліщицький;"N 48°39'10""";"E 25°44'34"""
П-326;Карстова лійка Язвінь;Karstova liika Yazvin;геологічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Борщівський;"N 48°43'53""";"E 25°54'2"""
П-328;"Худиківські відслонення
нижньокрейдових відкладів";"Khudykivski vidslonennia
nyzhnokreidovykh vidkladiv";геологічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Борщівський;"N 48°36'0""";"E 26°9'23"""
П-3305;Гермаківський;Hermakivskyi;дендрологічний парк;загальнодержавного значення;Тернопільська обл.;р-н Борщівський;"N 48°42'8""";"E 26°10'8"""
П-3332;Довге;Dovhe;заказник загальнозоологічний;місцевого значення;Тернопільська обл.;р-н Підгаєцький;"N 49°11'37""";"E 24°59'11"""
П-3333;Залісся;Zalissia;заказник загальнозоологічний;місцевого значення;Тернопільська обл.;р-н Бережанський;"N 49°34'40""";"E 24°58'52"""
П-3349;Колиндянська грабина;Kolyndianska hrabyna;ботанічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Чортківський;"N 48°55'26""";"E 25°58'33"""
П-3368;Буданівські буки;Budanivski buky;ботанічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Теребовлянський;"N 49°8'44""";"E 25°46'30"""
П-3370;Горіх чорний (ділянка No6);Horikh chornyi (dilianka No6);ботанічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Борщівський;"N 48°48'33""";"E 25°47'29"""
П-3371;Гора Любовня;Hora Liubovnia;ботанічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Гусятинський;"N 49°20'16""";"E 26°5'6"""
П-3386;Почаївська липа;Pochaivska lypa;ботанічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Кременецький;"N 50°0'39""";"E 25°30'21"""
П-3388;Софора японська;Sofora yaponska;ботанічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Заліщицький;"N 48°38'22""";"E 25°44'18"""
П-3392;Урочище Ступник;Urochyshche Stupnyk;ботанічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Бережанський;"N 49°32'2""";"E 24°46'38"""
П-3394;Гора Стіжок;Hora Stizhok;геологічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Шумський;"N 50°12'47""";"E 25°53'7"""
П-3404;"Галицький ботсад лікарських
рослин";"Halytskyi botsad likarskykh
roslyn";ботанічний сад;місцевого значення;Тернопільська обл.;р-н Тернопільський;"N 49°30'40""";"E 25°30'21"""
П-3406;Забродівська діброва No1;Zabrodivska dibrova No1;ботанічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Кременецький;"N 50°8'20""";"E 25°47'59"""
П-3408;Микулинецькі буки;Mykulynetski buky;ботанічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Теребовлянський;"N 49°23'20""";"E 25°36'24"""
П-3409;Модрина європейська;Modryna yevropeiska;ботанічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Борщівський;"N 48°52'19""";"E 25°56'42"""
П-3410;Модрина європейська;Modryna yevropeiska;ботанічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Шумський;"N 50°11'36""";"E 26°9'42"""
П-3424;Іванівський;Ivanivskyi;заказник ботанічний;місцевого значення;Тернопільська обл.;р-н Тернопільський;"N 49°32'42""";"E 25°30'17"""
П-3474;Рукомишські скелі;Rukomyshski skeli;геологічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Бучацький;"N 49°5'7""";"E 25°22'57"""
П-3476;Сквер по вул. Чорновола;Skver po vul. Chornovola;парк;місцевого значення;Тернопільська обл.;Тернопільська міськрада;"N 49°32'14""";"E 25°37'46"""
П-3480;Урочище Кашталівка;Urochyshche Kashtalivka;заказник орнітологічний;місцевого значення;Тернопільська обл.;Бережанська міськрада;"N 49°27'4""";"E 24°56'55"""
П-3501;Синьків;Synkiv;заказник ботанічний;місцевого значення;Тернопільська обл.;р-н Заліщицький;"N 48°36'28""";"E 25°57'5"""
П-3504;Дубівецьке джерело;Dubivetske dzherelo;гідрологічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Тернопільський;"N 49°41'28""";"E 25°38'21"""
П-3533;Тернопільські джерела;Ternopilski dzherela;гідрологічна пам'ятка природи;місцевого значення;Тернопільська обл.;Тернопільська міськрада;"N 49°32'45""";"E 25°34'59"""
П-3536;Білокриницький;Bilokrynytskyi;заказник загальнозоологічний;місцевого значення;Тернопільська обл.;р-н Кременецький;"N 50°7'38""";"E 25°42'32"""
П-3551;Пилатківське джерело;Pylatkivske dzherelo;гідрологічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Борщівський;"N 48°53'13""";"E 25°59'43"""
П-3552;Плотицьке джерело;Plotytske dzherelo;гідрологічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Козівський;"N 49°28'59""";"E 25°17'27"""
П-3559;Група екзотів;Hrupa ekzotiv;ботанічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Теребовлянський;"N 49°21'33""";"E 25°43'19"""
П-3578;Колоденський;Kolodenskyi;заказник ботанічний;місцевого значення;Тернопільська обл.;р-н Збаразький;"N 49°45'31""";"E 25°42'17"""
П-3580;Печера Угринь;Pechera Uhryn;геологічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Чортківський;"N 48°57'44""";"E 25°51'45"""
П-3599;Кедр сибірський;Kedr sybirskyi;ботанічна пам'ятка природи;місцевого значення;Тернопільська обл.;Кременецька міськрада;"N 50°4'52""";"E 25°45'8"""
П-3622;Кременецький ботанічний сад;Kremenetskyi botanichnyi sad;ботанічний сад;загальнодержавного значення;Тернопільська обл.;Кременецька міськрада;"N 50°5'54""";"E 25°44'5"""
П-3625;Буглівський стратотип;Buhlivskyi stratotyp;геологічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Лановецький;"N 49°46'37""";"E 26°4'33"""
П-3663;Стіжоцький сосняк;Stizhotskyi sosniak;ботанічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Шумський;"N 50°11'10""";"E 25°53'6"""
П-3679;Липа Богдана Хмельницького;Lypa Bohdana Khmelnytskoho;ботанічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Козівський;"N 49°26'52""";"E 25°19'54"""
П-3711;Модрина японська;Modryna yaponska;ботанічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Збаразький;"N 49°41'0""";"E 25°55'46"""
П-3712;"Модриново-букове
насадження";"Modrynovo-bukove
nasadzhennia";ботанічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Кременецький;"N 50°5'39""";"E 25°40'31"""
П-3716;Сосна Веймутова;Sosna Veimutova;ботанічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Гусятинський;"N 49°7'50""";"E 25°50'48"""
П-3740;Ялиця каліфорнійська;Yalytsia kaliforniiska;ботанічна пам'ятка природи;місцевого значення;Тернопільська обл.;Кременецька міськрада;"N 50°5'22""";"E 25°43'43"""
П-3788;Полупанівські буки;Polupanivski buky;ботанічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Підволочиський;"N 49°29'59""";"E 25°57'13"""
П-3796;Бук пурпуролистий;Buk purpurolystyi;ботанічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Гусятинський;"N 49°20'40""";"E 25°59'9"""
П-3797;Бук пурпуролистий;Buk purpurolystyi;ботанічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Гусятинський;"N 49°12'36""";"E 25°54'54"""
П-3800;"Відслонення крейди в
Кременці";Vidslonennia kreidy v Krementsi;геологічна пам'ятка природи;місцевого значення;Тернопільська обл.;Кременецька міськрада;"N 50°5'15""";"E 25°44'18"""
П-3815;Пулікове;Pulikove;заказник загальнозоологічний;місцевого значення;Тернопільська обл.;р-н Бучацький;"N 49°0'31""";"E 25°14'20"""
П-3816;Рохманівський бобрів гай;Rokhmanivskyi bobriv hai;заказник загальнозоологічний;місцевого значення;Тернопільська обл.;р-н Шумський;"N 50°8'9""";"E 26°4'49"""
П-3817;Рудники;Rudnyky;заказник загальнозоологічний;місцевого значення;Тернопільська обл.;р-н Підгаєцький;"N 49°15'35""";"E 24°59'10"""
П-3818;Савинське;Savynske;заказник загальнозоологічний;місцевого значення;Тернопільська обл.;р-н Бучацький;"N 49°0'54""";"E 25°16'52"""
П-3838;Джерело Святої Анни;Dzherelo Sviatoi Anny;гідрологічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Кременецький;"N 50°9'33""";"E 25°43'10"""
П-3847;Витік річки Горинь;Vytik richky Horyn;гідрологічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Кременецький;"N 49°53'22""";"E 25°29'17"""
П-3856;Підволочиське джерело;Pidvolochyske dzherelo;гідрологічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Підволочиський;"N 49°31'14""";"E 26°7'27"""
П-387;Васильківці;Vasylkivtsi;заповідне урочище;місцевого значення;Тернопільська обл.;р-н Гусятинський;"N 49°6'22""";"E 26°4'25"""
П-3872;Бук-одинак;Buk-odynak;ботанічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Борщівський;"N 48°45'38""";"E 26°4'54"""
П-3905;Рівна скеля;Rivna skelia;геологічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Бучацький;"N 48°59'41""";"E 25°26'18"""
П-3907;Каленикові гори;Kalenykovi hory;заповідне урочище;місцевого значення;Тернопільська обл.;р-н Лановецький;"N 49°50'32""";"E 26°0'21"""
П-3911;Кутянський луг;Kutianskyi luh;заказник ботанічний;місцевого значення;Тернопільська обл.;р-н Шумський;"N 50°13'38""";"E 26°9'36"""
П-3927;"Козівський дендропарк Лісова
пісня";"Kozivskyi dendropark Lisova
pisnia";дендрологічний парк;місцевого значення;Тернопільська обл.;р-н Козівський;"N 49°26'8""";"E 25°8'42"""
П-3957;Підволочиський;Pidvolochyskyi;заказник орнітологічний;місцевого значення;Тернопільська обл.;р-н Підволочиський;"N 49°31'29""";"E 26°8'20"""
П-3973;Межеліски;Mezhelisky;заказник загальнозоологічний;місцевого значення;Тернопільська обл.;р-н Бучацький;"N 49°0'4""";"E 25°16'15"""
П-3976;Городоцько-Добрівлянський;Horodotsko-Dobrivlianskyi;заказник іхтіологічний;місцевого значення;Тернопільська обл.;р-н Заліщицький;"N 48°40'35""";"E 25°47'7"""
П-4021;Королівський;Korolivskyi;заказник ботанічний;місцевого значення;Тернопільська обл.;р-н Борщівський;"N 48°44'14""";"E 25°58'30"""
П-4046;Полупанівська Свята гора;Polupanivska Sviata hora;заказник ландшафтний;місцевого значення;Тернопільська обл.;р-н Підволочиський;"N 49°27'53""";"E 25°55'30"""
П-4055;Сапогівський;Sapohivskyi;заказник ботанічний;місцевого значення;Тернопільська обл.;р-н Борщівський;"N 48°44'51""";"E 26°6'2"""
П-4065;Касперівсько-Городоцький;Kasperivsko-Horodotskyi;заказник іхтіологічний;місцевого значення;Тернопільська обл.;р-н Заліщицький;"N 48°38'50""";"E 25°52'26"""
П-4122;Дуб Велетень;Dub Veleten;ботанічна пам'ятка природи;місцевого значення;Тернопільська обл.;Бережанська міськрада;"N 49°25'40""";"E 24°54'24"""
П-4123;Дуб Вигодський;Dub Vyhodskyi;ботанічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Борщівський;"N 48°32'33""";"E 26°21'30"""
П-4124;Дуб Тернопільський;Dub Ternopilskyi;ботанічна пам'ятка природи;місцевого значення;Тернопільська обл.;Тернопільська міськрада;"N 49°32'31""";"E 25°36'13"""
П-4127;Плотицький;Plotytskyi;парк;місцевого значення;Тернопільська обл.;р-н Тернопільський;"N 49°37'37""";"E 25°33'38"""
П-4130;Білозірська заплава р.Збруч;Bilozirska zaplava r.zbruch;заказник ботанічний;місцевого значення;Тернопільська обл.;р-н Лановецький;"N 49°46'13""";"E 26°12'55"""
П-4134;Тростянецька бучина;Trostianetska buchyna;ботанічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Підгаєцький;"N 49°17'9""";"E 24°55'11"""
П-4143;Гора Уніяс;Hora Uniias;геологічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Шумський;"N 50°13'22""";"E 26°0'8"""
П-4146;"Гусятинське відслонення
силуру";Husiatynske vidslonennia syluru;геологічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Гусятинський;"N 49°3'57""";"E 26°11'11"""
П-4157;Заповідний куточок;Zapovidnyi kutochok;ботанічна пам'ятка природи;місцевого значення;Тернопільська обл.;Тернопільська міськрада;"N 49°32'46""";"E 25°33'29"""
П-4161;"Еталон модриново-ясеневого
насадження з домішками
сосни і дуба звичайного";"Etalon modrynovo-yasenevoho
nasadzhennia z domishkamy
sosny i duba zvychainoho";ботанічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Борщівський;"N 48°52'58""";"E 25°54'25"""
П-4165;Копиченецька бучина;Kopychenetska buchyna;ботанічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Гусятинський;"N 49°8'29""";"E 25°49'1"""
П-4166;Коропецька грабина;Koropetska hrabyna;ботанічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Монастириський;"N 49°7'34""";"E 25°7'4"""
П-4172;Антонівецький сосняк;Antonivetskyi sosniak;ботанічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Шумський;"N 50°14'40""";"E 25°55'6"""
П-4173;Білокриницька бучина No1;Bilokrynytska buchyna No1;ботанічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Шумський;"N 50°8'11""";"E 25°49'27"""
П-4174;Білокриницька бучина No2;Bilokrynytska buchyna No2;ботанічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Шумський;"N 50°7'45""";"E 25°49'52"""
П-4188;Новосілківські берести;Novosilkivski beresty;ботанічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Заліщицький;"N 48°42'51""";"E 25°56'8"""
П-4191;Бабинецький менгір;Babynetskyi menhir;геологічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Борщівський;"N 48°40'0""";"E 26°3'7"""
П-4193;"Відслонення девону в
м.Чорткові";"Vidslonennia devonu v
m.chortkovi";геологічна пам'ятка природи;місцевого значення;Тернопільська обл.;р-н Чортківський;"N 48°59'54""";"E 25°49'26"""
