Реєстраційний номер;Унормована назва;Унормована назва латиницею;Вид географічного об'єкту;Адміністративний статус;Адміністративно-територіальна одиниця (АР Крим, область);Район;Широта;Довгота
П-3942;Джерело Ковалівське - 1;Dzherelo Kovalivske -1;гідрологічна пам'ятка природи;місцевого значення;Луганська обл.;р-н Сватівський;"N 49°21'27""";"E 38°3'18"""
П-3946;Лозовське джерело;Lozovske dzherelo;гідрологічна пам'ятка природи;місцевого значення;Луганська обл.;р-н Старобільський;"N 49°10'30""";"E 38°51'33"""
П-3947;Новонікольське джерело;Novonikolske dzherelo;гідрологічна пам'ятка природи;місцевого значення;Луганська обл.;р-н Міловський;"N 49°21'22""";"E 39°50'4"""
П-3971;Кононівський;Kononivskyi;заказник загальнозоологічний;місцевого значення;Луганська обл.;р-н Біловодський;"N 49°20'11""";"E 39°41'21"""
П-3974;Терни;Terny;заказник загальнозоологічний;місцевого значення;Луганська обл.;р-н Сватівський;"N 49°26'50""";"E 38°6'23"""
П-3997;Піщаний;Pishchanyi;заказник ботанічний;місцевого значення;Луганська обл.;р-н Станично-Луганський;"N 48°38'54""";"E 39°36'40"""
П-4017;Велико-Чернігівське джерело;Velyko-Chernihivske dzherelo;гідрологічна пам'ятка природи;місцевого значення;Луганська обл.;р-н Станично-Луганський;"N 48°58'11""";"E 39°25'48"""
П-4022;Новоборовське джерело;Novoborovske dzherelo;гідрологічна пам'ятка природи;місцевого значення;Луганська обл.;р-н Старобільський;"N 49°16'9""";"E 38°32'16"""
П-4023;Дерезувате;Derezuvate;заповідне урочище;місцевого значення;Луганська обл.;р-н Антрацитівський;"N 48°1'54""";"E 38°53'33"""
П-4039;Рідкодуб;Ridkodub;заказник ентомологічний;місцевого значення;Луганська обл.;р-н Попаснянський;"N 48°44'21""";"E 38°35'12"""
П-4040;Роздольнянські ставки;Rozdolnianski stavky;заказник ентомологічний;місцевого значення;Луганська обл.;р-н Білокуракинський;"N 49°38'50""";"E 38°27'44"""
П-4053;Ольшаник;Olshanyk;заповідне урочище;місцевого значення;Луганська обл.;р-н Кремінський;"N 49°0'33""";"E 38°29'16"""
П-4112;Містківський;Mistkivskyi;заказник загальнозоологічний;місцевого значення;Луганська обл.;р-н Сватівський;"N 49°21'33""";"E 38°25'25"""
П-4137;Євсуг-Степове;Yevsuh-Stepove;заказник загальнозоологічний;місцевого значення;Луганська обл.;р-н Біловодський;"N 49°15'23""";"E 39°21'13"""
П-4138;Лісова перлина;Lisova perlyna;заказник загальнозоологічний;місцевого значення;Луганська обл.;р-н Білокуракинський;"N 49°53'47""";"E 38°41'7"""
П-415;Біловодський;Bilovodskyi;регіональний ландшафтний парк;місцевого значення;Луганська обл.;р-н Біловодський;"N 49°2'43""";"E 39°39'4"""
П-4158;Новобіла;Novobila;ботанічна пам'ятка природи;місцевого значення;Луганська обл.;р-н Новопсковський;"N 49°47'22""";"E 39°11'1"""
П-4201;Олександропільська;Oleksandropilska;ботанічна пам'ятка природи;місцевого значення;Луганська обл.;р-н Білокуракинський;"N 49°42'42""";"E 38°51'15"""
П-4279;Горіхівське джерело;Horikhivske dzherelo;гідрологічна пам'ятка природи;місцевого значення;Луганська обл.;р-н Попаснянський;"N 48°43'4""";"E 38°32'10"""
П-4298;Свинарська балка;Svynarska balka;комплексна пам'ятка природи;місцевого значення;Луганська обл.;р-н Біловодський;"N 49°4'13""";"E 39°32'14"""
П-4312;Гончарівський;Honcharivskyi;заказник ботанічний;місцевого значення;Луганська обл.;р-н Сватівський;"N 49°34'25""";"E 38°3'34"""
П-4320;Новопсковський;Novopskovskyi;заказник лісовий;місцевого значення;Луганська обл.;р-н Новопсковський;"N 49°42'24""";"E 38°58'13"""
П-4332;Молодогвардійський;Molodohvardiiskyi;заказник ландшафтний;місцевого значення;Луганська обл.;Ровеньківська міськрада;"N 48°5'5""";"E 39°22'19"""
П-4403;Балка Кривенький Яр;Balka Kryvenkyi Yar;геологічна пам'ятка природи;місцевого значення;Луганська обл.;р-н Лутугинский;"N 48°21'27""";"E 39°6'2"""
П-4433;Калмичанка;Kalmychanka;гідрологічна пам'ятка природи;місцевого значення;Луганська обл.;р-н Міловський;"N 49°16'45""";"E 39°51'58"""
П-4437;Мілуватський водолій;Miluvatskyi vodolii;"парк-пам'ятка садово-паркового
мистецтва";місцевого значення;Луганська обл.;р-н Сватівський;"N 49°19'39""";"E 38°9'36"""
П-4443;Криштальна;Kryshtalna;гідрологічна пам'ятка природи;місцевого значення;Луганська обл.;р-н Міловський;"N 49°18'55""";"E 39°50'26"""
П-4445;Парк ім. Перемоги;Park im. Peremohy;"парк-пам'ятка садово-паркового
мистецтва";місцевого значення;Луганська обл.;Антрацитська міськрада;"N 48°7'49""";"E 39°5'52"""
П-4446;Сватівський парк;Svativskyi park;"парк-пам'ятка садово-паркового
мистецтва";місцевого значення;Луганська обл.;р-н Сватівський;"N 49°27'15""";"E 38°7'19"""
П-4461;Камишнянський;Kamyshnianskyi;заказник ботанічний;місцевого значення;Луганська обл.;р-н Станично-Луганський;"N 48°40'43""";"E 39°40'30"""
П-4479;Сіточне;Sitochne;заповідне урочище;місцевого значення;Луганська обл.;р-н Кремінський;"N 49°3'11""";"E 38°7'30"""
П-4506;Кисилівські оголення;Kysylivski oholennia;геологічна пам'ятка природи;місцевого значення;Луганська обл.;р-н Білокуракинський;"N 49°28'54""";"E 38°42'26"""
П-453;Сіверсько-Донецький;Siversko-donetskyi;національний природний парк;загальнодержавного значення;Луганська обл.;р-н Кремінський;"N 48°58'40""";"E 38°10'41"""
П-4534;Крейдяні відслонення;Kreidiani vidslonennia;заказник ботанічний;місцевого значення;Луганська обл.;р-н Міловський;"N 49°17'49""";"E 39°50'3"""
П-4537;Куземівський яр;Kuzemivskyi yar;геологічна пам'ятка природи;місцевого значення;Луганська обл.;р-н Сватівський;"N 49°31'57""";"E 38°0'5"""
П-454;Юницький;Yunytskyi;заказник ботанічний;загальнодержавного значення;Луганська обл.;р-н Біловодський;"N 49°4'55""";"E 39°42'20"""
П-4542;Менчікуровський розріз;Menchikurovskyi rozriz;геологічна пам'ятка природи;місцевого значення;Луганська обл.;р-н Лутугинский;"N 48°26'45""";"E 39°15'9"""
П-4543;Осинівські піщаники;Osynivski pishchanyky;геологічна пам'ятка природи;місцевого значення;Луганська обл.;р-н Новопсковський;"N 49°31'54""";"E 39°2'7"""
П-4555;Стінки ліскові;Stinky liskovi;заказник ботанічний;місцевого значення;Луганська обл.;р-н Біловодський;"N 49°17'35""";"E 39°28'32"""
П-4595;Велика долина;Velyka dolyna;ботанічна пам'ятка природи;місцевого значення;Луганська обл.;р-н Білокуракинський;"N 49°30'1""";"E 38°28'50"""
П-4615;Причепилівська;Prychepylivska;геологічна пам'ятка природи;місцевого значення;Луганська обл.;р-н Слов'яносербський;"N 48°42'15""";"E 38°43'25"""
П-4654;Слов'яносербський;Slovianoserbskyi;геологічна пам'ятка природи;місцевого значення;Луганська обл.;р-н Слов'яносербський;"N 48°41'51""";"E 38°57'17"""
П-4657;Юр'ївська;Yurivska;геологічна пам'ятка природи;місцевого значення;Луганська обл.;р-н Лутугинский;"N 48°29'54""";"E 38°58'36"""
П-4660;Верхній ставок;Verkhnii stavok;гідрологічна пам'ятка природи;місцевого значення;Луганська обл.;р-н Сватівський;"N 49°18'47""";"E 37°59'30"""
П-4676;Парк Дружба;Park Druzhba;"парк-пам'ятка садово-паркового
мистецтва";місцевого значення;Луганська обл.;р-н Антрацитівський;"N 48°6'7""";"E 39°8'13"""
П-4684;Айдарська тераса;Aidarska terasa;заказник лісовий;місцевого значення;Луганська обл.;р-н Новоайдарський;"N 49°1'49""";"E 38°56'3"""
П-4690;Джерело Горське;Dzherelo Horske;гідрологічна пам'ятка природи;місцевого значення;Луганська обл.;р-н Попаснянський;"N 48°46'21""";"E 38°31'6"""
П-4762;Айдарський;Aidarskyi;заказник іхтіологічний;місцевого значення;Луганська обл.;р-н Старобільський;"N 49°23'25""";"E 38°57'15"""
П-4774;Кибикинська криниця;Kybykynska krynytsia;гідрологічна пам'ятка природи;місцевого значення;Луганська обл.;р-н Станично-Луганський;"N 48°38'58""";"E 39°28'9"""
П-4780;Краснянське водосховище;Krasnianske vodoskhovyshche;заказник ландшафтний;місцевого значення;Луганська обл.;р-н Сорокинський;"N 48°17'6""";"E 39°42'40"""
П-4811;Джерело Містки;Dzherelo Mistky;гідрологічна пам'ятка природи;місцевого значення;Луганська обл.;р-н Сватівський;"N 49°20'18""";"E 38°29'35"""
П-4841;Самсонівська заводь;Samsonivska zavod;заказник ландшафтний;місцевого значення;Луганська обл.;р-н Білокуракинський;"N 49°27'44""";"E 38°36'12"""
П-4849;Водяна криниця;Vodiana krynytsia;гідрологічна пам'ятка природи;місцевого значення;Луганська обл.;р-н Біловодський;"N 49°12'54""";"E 39°27'30"""
П-4873;ім. Бориса Грінченка;im. Borysa Hrinchenka;ботанічна пам'ятка природи;місцевого значення;Луганська обл.;р-н Перевальський;"N 48°28'21""";"E 38°54'5"""
П-4943;Конгресів яр;Konhresiv yar;геологічна пам'ятка природи;загальнодержавного значення;Луганська обл.;Лисичанська міськрада;"N 48°55'34""";"E 38°25'37"""
П-4946;Воронець;Voronets;ботанічна пам'ятка природи;місцевого значення;Луганська обл.;р-н Біловодський;"N 49°13'54""";"E 39°38'9"""
П-4985;Провальський дуб;Provalskyi dub;ботанічна пам'ятка природи;місцевого значення;Луганська обл.;р-н Свердловський;"N 48°10'31""";"E 39°50'45"""
П-4993;Дубовий гай;Dubovyi hai;заповідне урочище;місцевого значення;Луганська обл.;р-н Кремінський;"N 49°0'36""";"E 38°11'49"""
П-5010;Кримський;Krymskyi;заказник ентомологічний;місцевого значення;Луганська обл.;р-н Слов'яносербський;"N 48°40'42""";"E 38°51'46"""
П-5025;Огидне;Ohydne;заповідне урочище;місцевого значення;Луганська обл.;р-н Новопсковський;"N 49°33'28""";"E 39°2'37"""
П-5026;Піщане;Pishchane;заповідне урочище;місцевого значення;Луганська обл.;р-н Станично-Луганський;"N 48°39'4""";"E 39°38'56"""
П-5046;Ясенева захисна лісосмуга;Yaseneva zakhysna lisosmuha;ботанічна пам'ятка природи;місцевого значення;Луганська обл.;р-н Біловодський;"N 49°17'0""";"E 39°40'23"""
П-5051;Медвежанський;Medvezhanskyi;заказник ботанічний;місцевого значення;Луганська обл.;р-н Довжанський;"N 48°9'41""";"E 39°33'21"""
П-5053;Балка Безіменна;Balka Bezimenna;геологічна пам'ятка природи;місцевого значення;Луганська обл.;р-н Лутугинский;"N 48°24'48""";"E 39°0'54"""
П-5054;Балка Довга;Balka Dovha;геологічна пам'ятка природи;місцевого значення;Луганська обл.;р-н Лутугинский;"N 48°23'13""";"E 38°59'57"""
П-5055;Баранячі лоби;Baraniachi loby;геологічна пам'ятка природи;місцевого значення;Луганська обл.;р-н Новоайдарський;"N 48°56'40""";"E 38°57'39"""
П-5134;Капітанівський ліс;Kapitanivskyi lis;заповідне урочище;місцевого значення;Луганська обл.;р-н Новоайдарський;"N 48°48'35""";"E 38°47'55"""
П-5136;Киселева балка;Kyseleva balka;заповідне урочище;місцевого значення;Луганська обл.;р-н Станично-Луганський;"N 48°53'47""";"E 39°44'55"""
П-5169;Луг;Luh;заповідне урочище;місцевого значення;Луганська обл.;р-н Новопсковський;"N 49°31'28""";"E 39°6'12"""
П-5176;Балка Березова;Balka Berezova;заказник загальнозоологічний;місцевого значення;Луганська обл.;р-н Міловський;"N 49°14'33""";"E 39°59'4"""
П-5181;Сватівський;Svativskyi;заказник загальнозоологічний;місцевого значення;Луганська обл.;р-н Сватівський;"N 49°26'27""";"E 38°4'30"""
П-5278;Айдарська тераса;Aidarska terasa;комплексна пам'ятка природи;загальнодержавного значення;Луганська обл.;р-н Новоайдарський;"N 48°59'54""";"E 38°58'11"""
П-5279;Гостра Могила;Hostra Mohyla;"парк-пам'ятка садово-паркового
мистецтва";загальнодержавного значення;Луганська обл.;Луганська міськрада;"N 48°30'54""";"E 39°22'14"""
П-5280;Парк Дружби;Park Druzhby;"парк-пам'ятка садово-паркового
мистецтва";загальнодержавного значення;Луганська обл.;р-н Новоайдарський;"N 49°2'42""";"E 39°7'20"""
П-5319;Білолуцький;Bilolutskyi;заказник лісовий;місцевого значення;Луганська обл.;р-н Новопсковський;"N 49°43'51""";"E 39°1'33"""
П-5359;Надія;Nadiia;ботанічна пам'ятка природи;місцевого значення;Луганська обл.;р-н Сватівський;"N 49°21'37""";"E 37°55'16"""
П-5362;Селезнівська балка;Seleznivska balka;ботанічна пам'ятка природи;місцевого значення;Луганська обл.;р-н Перевальський;"N 48°24'56""";"E 38°50'7"""
П-5370;Кармазинівська;Karmazynivska;ботанічна пам'ятка природи;місцевого значення;Луганська обл.;р-н Сватівський;"N 49°17'52""";"E 38°0'39"""
П-5411;Джерело Попівське;Dzherelo Popivske;гідрологічна пам'ятка природи;місцевого значення;Луганська обл.;р-н Сватівський;"N 49°21'27""";"E 38°4'28"""
П-5413;Рай-Олександрівське джерело;Rai-Oleksandrivske dzherelo;гідрологічна пам'ятка природи;місцевого значення;Луганська обл.;р-н Попаснянський;"N 48°47'1""";"E 38°25'41"""
П-5416;Чеховська криниця;Chekhovska krynytsia;гідрологічна пам'ятка природи;місцевого значення;Луганська обл.;р-н Антрацитівський;"N 48°4'29""";"E 38°59'41"""
П-5444;Шпотинське джерело;Shpotynske dzherelo;гідрологічна пам'ятка природи;місцевого значення;Луганська обл.;р-н Старобільський;"N 49°10'51""";"E 39°11'29"""
П-5557;"Парк ім. Героїв Великої
Вітчизняної війни";"Park im. Heroiv Velykoi
Vitchyznianoi viiny";"парк-пам'ятка садово-паркового
мистецтва";місцевого значення;Луганська обл.;Луганська міськрада;"N 48°34'45""";"E 39°17'57"""
П-5573;Іллірійський;Illiriiskyi;заказник загальнозоологічний;місцевого значення;Луганська обл.;р-н Лутугинский;"N 48°22'32""";"E 39°0'48"""
П-56;Стрільцівський степ;Striltsivskyi step;"відділення Луганського
природного заповідника";загальнодержавного значення;Луганська обл.;р-н Міловський;"N 49°17'2""";"E 40°4'26"""
П-5604;Кремінські каптажи;Kreminski kaptazhy;заказник гідрологічний;місцевого значення;Луганська обл.;р-н Кремінський;"N 49°3'6""";"E 38°9'52"""
П-5613;Кондрашівський;Kondrashivskyi;заказник загальнозоологічний;місцевого значення;Луганська обл.;р-н Станично-Луганський;"N 48°39'58""";"E 39°26'21"""
П-5618;Мілуватський лиман;Miluvatskyi lyman;заказник загальнозоологічний;місцевого значення;Луганська обл.;р-н Сватівський;"N 49°19'26""";"E 38°8'23"""
П-5631;Селезнівський парк;Seleznivskyi park;"парк-пам'ятка садово-паркового
мистецтва";місцевого значення;Луганська обл.;р-н Перевальський;"N 48°23'32""";"E 38°47'41"""
П-5633;Білоусова Садка;Bilousova Sadka;заповідне урочище;місцевого значення;Луганська обл.;р-н Кремінський;"N 48°57'37""";"E 38°5'32"""
П-5646;Ставок м. Антрацит;Stavok m. Antratsyt;заказник ландшафтний;місцевого значення;Луганська обл.;Антрацитська міськрада;"N 48°8'26""";"E 39°6'38"""
П-57;Станично-Луганське;Stanychno-Luhanske;"відділення Луганського
природного заповідника";загальнодержавного значення;Луганська обл.;р-н Станично-Луганський;"N 48°45'7""";"E 39°22'32"""
П-58;Провальський степ;Provalskyi step;"відділення Луганського
природного заповідника";загальнодержавного значення;Луганська обл.;р-н Свердловський;"N 48°7'39""";"E 39°43'25"""
П-59;Трьохізбенський степ;Trokhizbenskyi step;"відділення Луганського
природного заповідника";загальнодержавного значення;Луганська обл.;"р-н Слов'яносербський, р-
н Новоайдарський";"N 48°45'36""";"E 38°57'36"""
