Реєстраційний номер;Унормована назва;Унормована назва латиницею;Вид географічного об'єкту;Адміністративний статус;Адміністративно-територіальна одиниця (АР Крим, область);Район;Широта;Довгота
П-2310;Джерела біля села Артюхівка;Dzherela bilia sela Artiukhivka;гідрологічна пам'ятка природи;місцевого значення;Сумська обл.;р-н Роменський;"N 50°40'27""";"E 33°18'38"""
П-2311;Джерела біля села Вікторове;Dzherela bilia sela Viktorove;гідрологічна пам'ятка природи;місцевого значення;Сумська обл.;р-н Глухівський;"N 51°32'2""";"E 33°52'58"""
П-2313;Джерела в селі Гришине;Dzherela v seli Hryshyne;гідрологічна пам'ятка природи;місцевого значення;Сумська обл.;р-н Роменський;"N 50°45'46""";"E 33°15'42"""
П-2314;Джерело;Dzherelo;гідрологічна пам'ятка природи;місцевого значення;Сумська обл.;Глухівський міськрада;"N 51°43'35""";"E 33°55'20"""
П-2321;Спадщанське озеро;Spadshchanske ozero;гідрологічна пам'ятка природи;місцевого значення;Сумська обл.;р-н Путивльський;"N 51°20'36""";"E 33°43'52"""
П-2328;Туранівська криниця;Turanivska krynytsia;гідрологічна пам'ятка природи;місцевого значення;Сумська обл.;р-н Ямпільський;"N 51°50'36""";"E 33°47'16"""
П-2331;Кочубеївський;Kochubeivskyi;"парк-пам'ятка садово-паркового
мистецтва";місцевого значення;Сумська обл.;р-н Кролевецький;"N 51°38'39""";"E 33°34'7"""
П-2339;Глибнянське;Hlybnianske;заповідне урочище;місцевого значення;Сумська обл.;р-н Краснопільський;"N 50°50'17""";"E 35°4'33"""
П-2351;Джерело Барвінкове-1;Dzherelo Barvinkove-1;гідрологічна пам'ятка природи;місцевого значення;Сумська обл.;р-н Сумський;"N 50°49'59""";"E 34°49'0"""
П-2352;Джерело Барвінкове-2;Dzherelo Barvinkove-2;гідрологічна пам'ятка природи;місцевого значення;Сумська обл.;р-н Сумський;"N 50°50'24""";"E 34°48'53"""
П-2354;Джерело Вакалівське;Dzherelo Vakalivske;гідрологічна пам'ятка природи;місцевого значення;Сумська обл.;р-н Сумський;"N 51°2'9""";"E 34°55'27"""
П-2362;Ходинські джерела;Khodynski dzherela;гідрологічна пам'ятка природи;місцевого значення;Сумська обл.;р-н Глухівський;"N 51°31'17""";"E 34°11'49"""
П-2406;Низівський;Nyzivskyi;"парк-пам'ятка садово-паркового
мистецтва";місцевого значення;Сумська обл.;р-н Сумський;"N 50°46'40""";"E 34°46'18"""
П-25;Михайлівська цілина;Mykhailivska tsilyna;"відділення Українського степового
природного заповідника";загальнодержавного значення;Сумська обл.;р-н Лебединський;"N 50°44'58""";"E 34°11'19"""
П-2505;Джерело біля села Малі Бубни;Dzherelo bilia sela Mali Bubny;гідрологічна пам'ятка природи;місцевого значення;Сумська обл.;р-н Роменський;"N 50°44'26""";"E 33°18'4"""
П-2506;Джерело біля села Рогинці;Dzherelo bilia sela Rohyntsi;гідрологічна пам'ятка природи;місцевого значення;Сумська обл.;р-н Роменський;"N 50°51'47""";"E 33°23'38"""
П-2507;Джерело в урочищі Будилок;Dzherelo v urochyshchi Budylok;гідрологічна пам'ятка природи;місцевого значення;Сумська обл.;р-н Недригайлівський;"N 50°51'34""";"E 34°11'3"""
П-255;Джерело;Dzherelo;гідрологічна пам'ятка природи;місцевого значення;Сумська обл.;р-н Охтирський;"N 50°17'5""";"E 34°43'34"""
П-2581;"Відслонення пісків
Полтавського ярусу";"Vidslonennia piskiv Poltavskoho
yarusu";геологічна пам'ятка природи;місцевого значення;Сумська обл.;р-н Лебединський;"N 50°39'55""";"E 34°23'29"""
П-26;Гетьманський;Hetmanskyi;національний природний парк;загальнодержавного значення;Сумська обл.;"р-н Великописарівський, р
н Охтирський, р-н
Тростянецький";"N 50°29'12""";"E 34°58'59"""
П-2606;Тернівський;Ternivskyi;"парк-пам'ятка садово-паркового
мистецтва";місцевого значення;Сумська обл.;р-н Недригайлівський;"N 50°59'43""";"E 33°57'11"""
П-2642;Захаревська дача;Zakharevska dacha;заповідне урочище;місцевого значення;Сумська обл.;р-н Краснопільський;"N 50°52'22""";"E 35°1'41"""
П-27;Деснянсько-Старогутський;Desniansko-Starohutskyi;національний природний парк;загальнодержавного значення;Сумська обл.;р-н Середино-Будський;"N 52°8'43""";"E 33°19'44"""
П-2777;Сумська діброва;Sumska dibrova;заповідне урочище;місцевого значення;Сумська обл.;р-н Тростянецький;"N 50°25'42""";"E 34°52'54"""
П-2780;Яблуня-колонія;Yablunia-koloniia;ботанічна пам'ятка природи;загальнодержавного значення;Сумська обл.;р-н Кролевецький;"N 51°33'6""";"E 33°23'40"""
П-2800;Красне;Krasne;заповідне урочище;місцевого значення;Сумська обл.;р-н Тростянецький;"N 50°26'56""";"E 34°50'24"""
П-2802;Кремлянська дача;Kremlianska dacha;заповідне урочище;місцевого значення;Сумська обл.;р-н Ямпільський;"N 51°59'12""";"E 33°45'41"""
П-2808;Тіпка;Tipka;заповідне урочище;місцевого значення;Сумська обл.;р-н Кролевецький;"N 51°35'45""";"E 33°23'48"""
П-284;Сумський;Sumskyi;дендрологічний парк;загальнодержавного значення;Сумська обл.;Сумська міськрада;"N 50°53'19""";"E 34°46'31"""
П-2851;Туранівська дача;Turanivska dacha;заповідне урочище;місцевого значення;Сумська обл.;р-н Ямпільський;"N 51°51'14""";"E 33°46'10"""
П-2864;Озеро Шелехівське;Ozero Shelekhivske;гідрологічна пам'ятка природи;загальнодержавного значення;Сумська обл.;р-н Лебединський;"N 50°42'49""";"E 34°27'56"""
П-2866;Урочище Боромля;Urochyshche Boromlia;зоологічна пам'ятка природи;загальнодержавного значення;Сумська обл.;р-н Конотопський;"N 51°23'36""";"E 33°31'28"""
П-2921;Литовський бір;Lytovskyi bir;заповідне урочище;місцевого значення;Сумська обл.;р-н Охтирський;"N 50°22'25""";"E 34°56'51"""
П-2951;Андріївський;Andriivskyi;заказник ботанічний;місцевого значення;Сумська обл.;р-н Кролевецький;"N 51°32'35""";"E 33°17'59"""
П-2958;Макове;Makove;заповідне урочище;місцевого значення;Сумська обл.;р-н Тростянецький;"N 50°33'23""";"E 34°58'30"""
П-3032;Ділянка лісу;Dilianka lisu;заповідне урочище;місцевого значення;Сумська обл.;р-н Тростянецький;"N 50°31'57""";"E 34°58'42"""
П-3033;Ділянка лісу;Dilianka lisu;заповідне урочище;місцевого значення;Сумська обл.;р-н Тростянецький;"N 50°26'9""";"E 35°1'40"""
П-3042;Нескучанська дача;Neskuchanska dacha;заповідне урочище;місцевого значення;Сумська обл.;р-н Тростянецький;"N 50°27'43""";"E 34°54'12"""
П-3066;Ділянка лісу;Dilianka lisu;заповідне урочище;місцевого значення;Сумська обл.;р-н Ямпільський;"N 51°58'36""";"E 33°48'52"""
П-3067;Ділянка лісу;Dilianka lisu;заповідне урочище;місцевого значення;Сумська обл.;р-н Ямпільський;"N 51°58'26""";"E 33°54'49"""
П-3068;Ділянка лісу;Dilianka lisu;заповідне урочище;місцевого значення;Сумська обл.;р-н Ямпільський;"N 51°58'3""";"E 33°55'50"""
П-3069;Ділянка лісу;Dilianka lisu;заповідне урочище;місцевого значення;Сумська обл.;р-н Кролевецький;"N 51°36'39""";"E 33°24'52"""
П-3070;Ділянка лісу;Dilianka lisu;заповідне урочище;місцевого значення;Сумська обл.;р-н Краснопільський;"N 50°49'13""";"E 35°14'57"""
П-3071;Краснопільське;Krasnopilske;заповідне урочище;місцевого значення;Сумська обл.;р-н Краснопільський;"N 50°48'29""";"E 35°14'53"""
П-3072;Ділянка лісу-2;Dilianka lisu-2;заповідне урочище;місцевого значення;Сумська обл.;р-н Краснопільський;"N 50°46'26""";"E 35°23'38"""
П-3120;Підівоцько-Чуйківська дача;Pidivotsko-Chuikivska dacha;заповідне урочище;місцевого значення;Сумська обл.;р-н Ямпільський;"N 52°1'41""";"E 34°1'42"""
П-3148;Драгомирівщина;Drahomyrivshchyna;заповідне урочище;місцевого значення;Сумська обл.;р-н Конотопський;"N 51°17'51""";"E 33°15'0"""
П-3173;Климентівський;Klymentivskyi;заказник гідрологічний;загальнодержавного значення;Сумська обл.;р-н Охтирський;"N 50°22'3""";"E 34°54'20"""
П-3204;Прудищанська дача;Prudyshchanska dacha;заповідне урочище;місцевого значення;Сумська обл.;р-н Ямпільський;"N 51°56'32""";"E 33°41'32"""
П-3239;Залугове;Zaluhove;заповідне урочище;місцевого значення;Сумська обл.;р-н Тростянецький;"N 50°25'35""";"E 35°0'26"""
П-3289;Пивний ліс;Pyvnyi lis;"парк-пам'ятка садово-паркового
мистецтва";місцевого значення;Сумська обл.;р-н Роменський;"N 50°43'59""";"E 33°27'44"""
П-3302;Шалигинський;Shalyhynskyi;заказник ландшафтний;загальнодержавного значення;Сумська обл.;р-н Глухівський;"N 51°36'34""";"E 34°6'38"""
П-3321;Джерело-криниця;Dzherelo-krynytsia;гідрологічна пам'ятка природи;місцевого значення;Сумська обл.;р-н Кролевецький;"N 51°36'42""";"E 33°33'54"""
П-3403;"Ботанічний сад ДСПУ ім.
А.С.Макаренка";"Botanichnyi sad Dspu im.
A.s.makarenka";ботанічний сад;місцевого значення;Сумська обл.;Сумська міськрада;"N 50°53'16""";"E 34°45'22"""
П-3470;Огнівщина;Ohnivshchyna;"парк-пам'ятка садово-паркового
мистецтва";місцевого значення;Сумська обл.;Роменська міськрада;"N 50°45'32""";"E 33°28'30"""
П-3696;Гора Золотуха;Hora Zolotukha;заказник геологічний;місцевого значення;Сумська обл.;р-н Конотопський;"N 50°58'46""";"E 33°25'57"""
П-3719;Мариця;Marytsia;заказник ботанічний;місцевого значення;Сумська обл.;р-н Кролевецький;"N 51°28'37""";"E 33°44'24"""
П-3738;Дерновський;Dernovskyi;заказник гідрологічний;місцевого значення;Сумська обл.;р-н Великописарівський;"N 50°31'36""";"E 35°19'9"""
П-4063;Липова алея;Lypova aleia;заповідне урочище;місцевого значення;Сумська обл.;Лебединська міськрада;"N 50°33'11""";"E 34°26'51"""
П-4224;Джерело в урочищі Цемкалка;"Dzherelo v urochyshchi
Tsemkalka";гідрологічна пам'ятка природи;місцевого значення;Сумська обл.;р-н Роменський;"N 50°50'9""";"E 33°38'4"""
П-427;Сеймський;Seimskyi;регіональний ландшафтний парк;місцевого значення;Сумська обл.;"р-н Буринський ,р-н
Конотопський, р-н
Кролевецький, р-н
Путивльський";"N 51°21'41""";"E 33°33'38"""
П-4432;Веретенівський;Veretenivskyi;"парк-пам'ятка садово-паркового
мистецтва";місцевого значення;Сумська обл.;Сумська міськрада;"N 50°56'2""";"E 34°44'59"""
П-4487;Басівський;Basivskyi;"парк-пам'ятка садово-паркового
мистецтва";місцевого значення;Сумська обл.;Сумська міськрада;"N 50°52'26""";"E 34°49'7"""
П-4686;Богданівський;Bohdanivskyi;заказник лісовий;місцевого значення;Сумська обл.;р-н Шосткинський;"N 51°53'17""";"E 33°23'2"""
П-4808;"Криниця біля села
Антоненкового";"Krynytsia bilia sela
Antonenkovoho";гідрологічна пам'ятка природи;місцевого значення;Сумська обл.;р-н Липоводолинський;"N 50°41'58""";"E 34°4'31"""
П-5343;Хухрянський;Khukhrianskyi;заказник гідрологічний;загальнодержавного значення;Сумська обл.;р-н Охтирський;"N 50°13'43""";"E 34°46'25"""
П-5456;Бакирівський;Bakyrivskyi;заказник гідрологічний;загальнодержавного значення;Сумська обл.;р-н Великописарівський;"N 50°22'24""";"E 35°3'12"""
П-5458;Біловодський;Bilovodskyi;заказник гідрологічний;загальнодержавного значення;Сумська обл.;р-н Роменський;"N 50°38'33""";"E 33°22'10"""
П-5523;Кириківський;Kyrykivskyi;"парк-пам'ятка садово-паркового
мистецтва";місцевого значення;Сумська обл.;р-н Великописарівський;"N 50°18'13""";"E 35°14'22"""
П-556;Борозенківський;Borozenkivskyi;заказник ботанічний;місцевого значення;Сумська обл.;р-н Роменський;"N 50°48'1""";"E 33°30'35"""
П-579;Воронізький;Voronizkyi;заказник ботанічний;місцевого значення;Сумська обл.;р-н Шосткинський;"N 51°45'6""";"E 33°23'59"""
П-609;Саївський;Saivskyi;заказник ботанічний;місцевого значення;Сумська обл.;р-н Недригайлівський;"N 50°44'40""";"E 34°7'11"""
П-622;Ставище;Stavyshche;заказник ботанічний;місцевого значення;Сумська обл.;р-н Кролевецький;"N 51°26'35""";"E 33°15'47"""
П-653;Хмелівський;Khmelivskyi;заказник ботанічний;місцевого значення;Сумська обл.;р-н Роменський;"N 50°50'19""";"E 33°29'17"""
П-698;Мутинський;Mutynskyi;заказник ботанічний;місцевого значення;Сумська обл.;р-н Конотопський;"N 51°22'40""";"E 33°31'54"""
П-716;Підліснівський;Pidlisnivskyi;заказник ботанічний;місцевого значення;Сумська обл.;р-н Сумський;"N 50°53'2""";"E 34°36'9"""
П-752;Острів;Ostriv;заказник лісовий;місцевого значення;Сумська обл.;р-н Середино-Будський;"N 52°18'42""";"E 33°27'54"""
П-798;Ушинський;Ushynskyi;заказник лісовий;місцевого значення;Сумська обл.;р-н Шосткинський;"N 51°51'44""";"E 33°21'57"""
П-907;Бобрицький;Bobrytskyi;заказник гідрологічний;місцевого значення;Сумська обл.;р-н Лебединський;"N 50°25'54""";"E 34°20'5"""
П-918;Перелісківський;Pereliskivskyi;заказник гідрологічний;місцевого значення;Сумська обл.;р-н Лебединський;"N 50°39'52""";"E 34°44'21"""
П-94;Середньосеймський;Serednoseimskyi;заказник ландшафтний;загальнодержавного значення;Сумська обл.;р-н Путивльський;"N 51°14'26""";"E 34°6'54"""
П-96;Тростянецький;Trostianetskyi;"парк-пам'ятка садово-паркового
мистецтва";загальнодержавного значення;Сумська обл.;р-н Тростянецький;"N 50°28'19""";"E 34°57'23"""
П-989;Присеймівський;Pryseimivskyi;заказник гідрологічний;місцевого значення;Сумська обл.;р-н Конотопський;"N 51°22'9""";"E 33°12'5"""
П-993;Шелехівський;Shelekhivskyi;заказник гідрологічний;місцевого значення;Сумська обл.;р-н Лебединський;"N 50°43'3""";"E 34°30'3"""
П-999;Юр'ївський;Yurivskyi;заказник гідрологічний;місцевого значення;Сумська обл.;р-н Путивльський;"N 51°19'24""";"E 34°9'24"""
